nome,preco
Pé de Moleque SANTA HELENA Crocante 110g,"4,95"
Biscoito NESTLÉ BONO Vários Sabores ou NEGRESCO 126g / 140g,"1,89"
Wafer NESTLÉ BONO Vários Sabores 110g,"1,99"
"Wafer D-TONE Cobertura  de Chocolate 100,8g","3,75"
Biscoito BAUDUCCO Choco  Biscuit Vários Sabores 80g,"3,98"
Biscoito BAUDUCCO Cookies  Vários Tipos 96g / 100g,"2,88"
Torrada BAUDUCCO Vários Tipos 142g,"2,69"
Pão de Leite PADERRÍ  280g,"8,25"
Madeleine  PADERRÍ Vários   Tipos 200g,"7,99"
Pão de Forma  VISCONTI Integral 400g,"5,58"
Pão de Forma  GRÃOLEV  Integral 500g,"3,99"
Pão p/ Hot Dogs GRÃOLEV 550g,"5,99"
Pão de Forma  BAUDUCCO  Integral 400g,"6,98"
Pão de Forma  BAUDUCCO  Grãos Clássicos 400g,"8,38"
Pão Brioche Trançado  PADERRÍ 400g,"9,98"
Pão NUTRELLA Grãos Vários Tipos 450g,"8,19"
Pão NUTRELLA Vários Tipos 350g,"5,85"
Pão NUTRELLA Supreme Vários Tipos 450g / 500g,"8,19"
Pão de Forma MILANI Tradicional 500g,"4,25"
Bisnaguinha MILANI Tradicional 300g,"4,25"
"Água Mineral  BONAFONT s/ Gás 1,5 L","1,78"
Água Mineral  PRATA c/ Gás  510ml,"1,97"
Água de Coco  MAGUARY  Puro Coco TP 1 L,"5,97"
Água de Coco  SOCOCO  TP 200ml ,"1,99"
 Bebida de Soja YOKI Vários Sabores TP 1 L,"3,99"
" Chá LIPTON Ice Tea  Zero Açúcar Vários  Sabores 1,5 L","5,39"
Néctar TIAL Vários Sabores TP 1 L,"3,99"
Suco CAMPO LARGO  Vários Sabores 900ml,"7,95"
Suco de Caju MAGUARY 500ml,"2,58"
Suco de Maracujá MAGUARY 500ml,"3,99"
Suco de Uva Tinto  Integral MOINHO  GRACIEMA 1 L,"12,80"
Suco de Uva Tinto  Integral SUPERBOM 1 L,"15,90"
Isotônico TNT SPORT  Drink Vários Sabores  500ml,"2,98"
Energético TNT  Vários Sabores  Lata 269ml,"3,99"
Energético  MINOTAURO  Energy Drink 2 L,"5,58"
Cerveja  BOHEMIA Lata 269ml,"1,99"
Cerveja PETRA Origem  Puro Malte Latão 473ml,"2,99"
Cerveja BRAHMA Duplo Malte Lata 350ml,"3,19"
Cerveja BUDWEISER Latão 473ml,"3,99"
Refrigerante PEPSI ou GUARANÁ ANTARCTICA Pet 200ml,"0,99"
Cerveja COLORADO  Ribeirão Lager 600ml,"9,99"
Cerveja COLORADO  Appia 600ml,"10,99"
"Cerveja COLORADO  Indica, Cauim ou Vixnu 600ml","12,99"
Queijo Mussarela ou Prato Ralado PRÉSIDENT 100g,"4,89"
Queijo Minas Padrão PRÉSIDENT 300g,"13,99"
Creme de Ricota PRÉSIDENT Tradicional ou Light 200g,"4,99"
Queijo Parmesão Ralado Fresco ou Seco PRÉSIDENT 100g,"7,99"
Fatiados PRÉSIDENT Mussarela ou Prato 150g,"6,99"
Manteiga PRÉSIDENT c/ Sal ou s/ Sal Pote ou Tablete 200g,"10,99"
Vinho Italiano CONTE DI  CAMPIANO PRIMITIVO  DI MANDURIA Riserva 750ml,"88,50"
